Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5
95,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
98,0.0,-1,-1.0,-1,-1.0
97,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
94,0.0,-1,-1.0,-1,-1.0
94,0.0,-1,-1.0,-1,-1.0
94,0.0,-1,-1.0,-1,-1.0
94,0.0,-1,-1.0,-1,-1.0
94,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
93,0.0,-1,-1.0,-1,-1.0
93,0.0,-1,-1.0,-1,-1.0
93,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
97,0.0,-1,-1.0,-1,-1.0
94,0.0,-1,-1.0,-1,-1.0
94,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
100,0.0,-1,-1.0,-1,-1.0
100,0.0,-1,-1.0,-1,-1.0
97,0.0,-1,-1.0,-1,-1.0
97,0.0,-1,-1.0,-1,-1.0
97,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
97,0.0,-1,-1.0,-1,-1.0
97,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
94,0.0,-1,-1.0,-1,-1.0
94,0.0,-1,-1.0,-1,-1.0
97,0.0,-1,-1.0,-1,-1.0
97,0.0,-1,-1.0,-1,-1.0
99,0.0,-1,-1.0,-1,-1.0
99,0.0,-1,-1.0,-1,-1.0
99,0.0,-1,-1.0,-1,-1.0
97,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
97,0.0,-1,-1.0,-1,-1.0
98,0.0,-1,-1.0,-1,-1.0
97,0.0,-1,-1.0,-1,-1.0
98,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
95,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
94,0.0,-1,-1.0,-1,-1.0
94,0.0,-1,-1.0,-1,-1.0
94,0.0,-1,-1.0,-1,-1.0
98,0.0,-1,-1.0,-1,-1.0
98,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
96,0.0,-1,-1.0,-1,-1.0
